Date,Handy_Odessa_Agioi_30,Handy_Fawley_Rotterdam_30,Handy_Lavera_Augusta_30
2003-06-06T00:00:00Z,20853.96513,30646.94181,27811.37783
2003-06-13T00:00:00Z,18046.31609,32645.57662,25270.86261
2003-06-20T00:00:00Z,23790.32058,35386.66877,30460.69867
2003-06-27T00:00:00Z,25638.64454,35900.38891,32148.47385
2003-07-04T00:00:00Z,28060.17435,35671.65171,34362.57221
2003-07-11T00:00:00Z,25932.9865,34326.52088,32439.05152
2003-07-18T00:00:00Z,21785.86614,33698.43214,28682.6815
2003-07-25T00:00:00Z,21105.40495,32378.71655,28065.68696
2003-08-01T00:00:00Z,17724.55006,30456.32748,24998.84856
2003-08-08T00:00:00Z,14873.99888,29764.70063,22422.06479
2003-08-15T00:00:00Z,17065.53993,29815.53112,24399.98829
2003-08-22T00:00:00Z,16492.33408,30557.98845,23873.66511
2003-08-29T00:00:00Z,15045.60742,31198.78481,22567.13895
2003-09-05T00:00:00Z,15174.31384,30608.81894,22675.94457
2003-09-12T00:00:00Z,15217.21597,30634.23419,22712.21311
2003-09-19T00:00:00Z,16771.19798,30723.18754,24109.41062
2003-09-26T00:00:00Z,16578.13836,29276.39573,23946.20219
2003-10-03T00:00:00Z,14450.95051,28597.47651,22022.6815
2003-10-10T00:00:00Z,14472.40157,27943.97253,22040.81577
2003-10-17T00:00:00Z,16449.43195,29200.15,23837.39657
2003-10-24T00:00:00Z,25681.54668,33927.16934,32184.74239
2003-10-31T00:00:00Z,33445.48369,34618.79619,39207.42779
2003-11-07T00:00:00Z,36113.70079,34536.19665,41630.07026
2003-11-14T00:00:00Z,38867.72216,34504.42759,44125.2498
2003-11-21T00:00:00Z,35390.33746,37188.33544,40976.80718
2003-11-28T00:00:00Z,35594.12261,37309.05785,41149.08275
2003-12-05T00:00:00Z,38509.027,40037.44238,43780.26932
2003-12-12T00:00:00Z,38509.027,41369.86559,43780.26932
2003-12-19T00:00:00Z,42688.32396,41350.80415,47563.84075
2003-12-26T00:00:00Z,42881.38358,41465.17275,47727.04918
2004-01-02T00:00:00Z,43640.95613,44661.60051,53019.11788
2004-01-09T00:00:00Z,46816.91226,53873.4037,52089.86339
2004-01-16T00:00:00Z,52939.74691,56035.86104,57710.47229
2004-01-23T00:00:00Z,52431.8054,58350.80984,57225.50742
2004-01-30T00:00:00Z,53282.964,58401.64033,58000.62061
2004-02-06T00:00:00Z,51880.96175,57757.06695,56704.274
2004-02-13T00:00:00Z,42503.65017,56201.06013,48110.15222
2004-02-20T00:00:00Z,42332.04162,51053.66536,47965.07806
2004-02-27T00:00:00Z,39971.62542,45248.98959,45802.94692
2004-03-05T00:00:00Z,30064.92126,45274.40484,38110.87822
2004-03-12T00:00:00Z,27747.4072,43820.05899,35985.01561
2004-03-19T00:00:00Z,25537.14848,42429.25125,32544.67213
2004-03-26T00:00:00Z,22454.28009,34487.53339,29716.23341
2004-04-02T00:00:00Z,16267.09224,30124.49585,24041.2217
2004-04-09T00:00:00Z,16149.11136,30054.60393,23941.48322
2004-04-16T00:00:00Z,17690.54556,30781.77685,25355.70258
2004-04-23T00:00:00Z,20730.51181,32210.70745,28147.87276
2004-04-30T00:00:00Z,23620.32058,29225.77002,30813.10304
2004-05-07T00:00:00Z,23459.43757,31292.92019,30677.09602
2004-05-14T00:00:00Z,22661.90664,34877.95432,29947.3185
2004-05-21T00:00:00Z,26359.97188,40568.26149,33351.39344
2004-05-28T00:00:00Z,27254.03262,42086.14545,34162.77518
2004-06-04T00:00:00Z,27572.35658,41687.61303,34459.66042
2004-06-11T00:00:00Z,29020.70304,42946.74841,35767.40437
2004-06-18T00:00:00Z,32997.63217,44477.33999,39407.22482
2004-06-25T00:00:00Z,32911.8279,43705.69039,39334.68774
2004-07-02T00:00:00Z,29192.31159,40165.13294,35912.47853
2004-07-09T00:00:00Z,28190.9955,34979.6153,35010.42545
2004-07-16T00:00:00Z,28169.54443,34246.08857,34992.29118
2004-07-23T00:00:00Z,28019.38695,34157.13521,34865.35129
2004-07-30T00:00:00Z,21875.10124,30540.33203,29226.60812
2004-08-06T00:00:00Z,21045.3937,30502.20916,27064.47697
2004-08-13T00:00:00Z,19600.48931,29832.22054,27137.01405
2004-08-20T00:00:00Z,20430.19685,31672.39118,27893.99297
2004-08-27T00:00:00Z,20601.8054,35017.73817,28039.06714
2004-09-03T00:00:00Z,19750.64679,36408.54591,27263.95394
2004-09-10T00:00:00Z,21367.15973,37901.01462,28741.64325
2004-09-17T00:00:00Z,23577.41845,37129.36502,30776.8345
2004-09-24T00:00:00Z,24321.32171,37116.6574,31461.27635
2004-10-01T00:00:00Z,25744.77503,38494.75751,32775.75722
2004-10-08T00:00:00Z,40200.70304,44210.47992,46052.16628
2004-10-15T00:00:00Z,44685.57368,54959.2285,50176.9516
2004-10-22T00:00:00Z,55357.63217,57817.08971,59976.74863
2004-10-29T00:00:00Z,64713.49269,59360.38891,68552.73614
2004-11-05T00:00:00Z,61823.68391,60903.68811,65887.50585
2004-11-12T00:00:00Z,59084.03262,61094.30245,63349.21546
2004-11-19T00:00:00Z,59448.70079,55543.77913,63657.49805
2004-11-26T00:00:00Z,56151.32171,56124.81439,60647.71663
2004-12-03T00:00:00Z,44195.24184,54133.90996,49651.31148
2004-12-10T00:00:00Z,43841.29921,51040.95774,49352.09602
2004-12-17T00:00:00Z,40629.72441,50952.00438,46414.85168
2004-12-24T00:00:00Z,40726.25422,48846.73134,46496.45589
2004-12-31T00:00:00Z,42374.94376,48916.62327,48001.3466
2005-01-07T00:00:00Z,31133.4027,48765.50836,40345.47619
2005-01-14T00:00:00Z,28420.02812,48549.47878,37738.36456
2005-01-21T00:00:00Z,29095.67492,49264.09767,38413.96956
2005-01-28T00:00:00Z,33728.73453,48447.81781,42957.22482
2005-02-04T00:00:00Z,33771.63667,46916.91906,42993.49336
2005-02-11T00:00:00Z,32184.38133,45347.89744,41442.8064
2005-02-18T00:00:00Z,26575.35996,42159.02372,35970.06635
2005-02-25T00:00:00Z,26317.94713,41228.37526,35752.45511
2005-03-04T00:00:00Z,27015.04499,40399.38777,36446.19438
2005-03-11T00:00:00Z,25910.37683,40208.77344,35407.90398
